--- Execution profile ---
Total samples:         162969
Non-Java:              3461 (2.12%)
Unknown (native):      5550 (3.41%)
Not walkable (native): 26 (0.02%)
Unknown (Java):        20146 (12.36%)
Not walkable (Java):   475 (0.29%)
Deopt:                 6 (0.00%)

Frame buffer usage:    28.2024%

      events  percent  samples  top
       27466    0.02%       27  __cmpxchg_double_slab.isra.51_[k]
       27448    0.02%       27  vfs_writev_[k]
       27423    0.02%       27  ip6_finish_output_[k]
       27329    0.02%       27  kfree_[k]
       26899    0.02%       27  void OopOopIterateBackwardsDispatch<G1ScanEvacuatedObjClosure>::Table::oop_oop_iterate_backwards<InstanceKlass, unsigned int>(G1ScanEvacuatedObjClosure*, oopDesc*, Klass*)
       26880    0.02%       27  io.netty.channel.unix.FileDescriptor.writevAddresses
       26847    0.02%       27  io.netty.buffer.PoolChunk.allocateRun
       26793    0.02%       26  input_handle_event_[k]
       26597    0.02%       26  io.netty.buffer.PoolThreadCache.trim
       26518    0.02%       26  _raw_spin_lock_irq_[k]
       26367    0.02%       26  inet6_csk_route_socket_[k]
       26364    0.02%       26  enqueue_task_fair_[k]
       26352    0.02%       26  copyout_[k]
       26237    0.02%       26  io.netty.buffer.PoolChunk.allocateNode
       26158    0.02%       26  G1RemSetTrackingPolicy::update_at_allocate(HeapRegion*)
       26117    0.02%       26  io.netty.buffer.AbstractByteBuf.readerIndex
       25999    0.02%       26  io.netty.channel.epoll.Native.epollWait
       25972    0.02%       26  void G1ScanObjsDuringUpdateRSClosure::do_oop_work<unsigned int>(unsigned int*)
       25971    0.02%       26  HeapRegionRemSetIterator::has_next(unsigned long&)
       25928    0.02%       26  io.netty.buffer.PoolChunk.initBufWithSubpage
       25863    0.02%       26  __tls_get_addr_slow
       25597    0.02%       25  i8042_interrupt_[k]
       25448    0.02%       25  tcp_push_[k]
       25326    0.02%       25  io.netty.util.internal.shaded.org.jctools.queues.BaseMpscLinkedArrayQueue.offerSlowPath
       25037    0.02%       25  io.netty.util.concurrent.SingleThreadEventExecutor.runAllTasks
       24910    0.02%       25  io.rsocket.frame.FrameHeaderFlyweight.encodeLength
       24698    0.02%       25  java.util.concurrent.ConcurrentHashMap.get
       24561    0.02%       24  rcu_process_callbacks_[k]
       24543    0.02%       24  run_timer_softirq_[k]
       24520    0.02%       24  native_read_msr_[k]
       24475    0.02%       24  __calc_delta_[k]
       24356    0.01%       24  HeapRegionTracer::send_region_type_change(unsigned int, G1HeapRegionTraceType::Type, G1HeapRegionTraceType::Type, unsigned long, unsigned long)
       24315    0.01%       24  tcp_event_new_data_sent_[k]
       24220    0.01%       24  __slab_free_[k]
       24202    0.01%       24  __local_bh_enable_ip_[k]
       24168    0.01%       24  G1Analytics::predict_object_copy_time_ms(unsigned long, bool) const
       24048    0.01%       24  io.netty.channel.DefaultChannelPipeline$HeadContext.channelReadComplete
       23738    0.01%       23  psmouse_interrupt	[psmouse]_[k]
       23490    0.01%       23  note_gp_changes_[k]
       23430    0.01%       23  do_syscall_64_[k]
       23423    0.01%       23  account_entity_enqueue_[k]
       23402    0.01%       23  __check_heap_object_[k]
       23320    0.01%       23  kmem_cache_alloc_node_[k]
       23309    0.01%       23  kmem_cache_free_[k]
       23305    0.01%       23  kfree_skbmem_[k]
       23292    0.01%       23  bictcp_acked_[k]
       23256    0.01%       23  ObjArrayKlass::array_klass_impl(bool, int, Thread*)
       23097    0.01%       23  io.netty.buffer.WrappedByteBuf.release
       23068    0.01%       23  RegisterHumongousWithInCSetFastTestClosure::do_heap_region(HeapRegion*)
       23063    0.01%       23  ThreadLocalAllocBuffer::clear_before_allocation()
       23025    0.01%       23  io.netty.buffer.AbstractByteBuf.setByte
       23000    0.01%       23  G1ScanRSForRegionClosure::scan_rem_set_roots(HeapRegion*)
       22965    0.01%       23  io.netty.util.internal.MathUtil.isOutOfBounds
       22959    0.01%       23  io.netty.util.AbstractReferenceCounted.release
       22470    0.01%       22  handle_edge_irq_[k]
       22462    0.01%       22  entry_SYSCALL_64_after_hwframe_[k]
       22415    0.01%       22  ip6_output_[k]
       22284    0.01%       22  tcp_md5_do_lookup_[k]
       22277    0.01%       22  _raw_spin_lock_bh_[k]
       22191    0.01%       22  ip6_autoflowlabel.part.39_[k]
       22141    0.01%       22  JavaThread::pd_last_frame()
       22060    0.01%       22  io.netty.buffer.SimpleLeakAwareByteBuf.closeLeak
       22001    0.01%       22  InstanceKlass::allocate_instance(Thread*)
       21970    0.01%       22  CodeBlob::is_zombie() const
       21945    0.01%       22  ResourceMark::reset_to_mark()
       21930    0.01%       22  io.netty.buffer.PooledUnsafeDirectByteBuf.init
       21922    0.01%       22  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl.lazySet
       21916    0.01%       22  G1ParScanThreadState::trim_queue()
       21806    0.01%       22  org.HdrHistogram.AtomicHistogram.clearCounts
       21444    0.01%       21  _find_next_bit_[k]
       21362    0.01%       21  tcp_update_pacing_rate_[k]
       21307    0.01%       21  InstanceKlass::array_klass_impl(bool, int, Thread*)
       21281    0.01%       21  enqueue_entity_[k]
       21193    0.01%       21  _copy_from_iter_full_[k]
       21159    0.01%       21  aa_sock_msg_perm_[k]
       21100    0.01%       21  G1CollectedHeap::new_mutator_alloc_region(unsigned long, bool)
       21054    0.01%       21  HandleMark::initialize(Thread*)
       21031    0.01%       21  HeapRegion::set_eden()
       21023    0.01%       21  io.netty.channel.epoll.AbstractEpollStreamChannel.doWrite
       20962    0.01%       21  io.netty.channel.epoll.AbstractEpollChannel.setFlag
       20933    0.01%       21  java.lang.invoke.VarHandleObjects$Array.getVolatile
       20921    0.01%       21  io.netty.util.Recycler$DefaultHandle.recycle
       20357    0.01%       20  tcp_sendmsg_[k]
       20319    0.01%       20  __accumulate_pelt_segments_[k]
       20298    0.01%       20  io.netty.channel.epoll.AbstractEpollStreamChannel$EpollStreamUnsafe.epollInReady
       20274    0.01%       20  __copy_skb_header_[k]
       20107    0.01%       20  io.netty.channel.epoll.Native.epollWait0
       20046    0.01%       20  AccessInternal::PostRuntimeDispatch<G1BarrierSet::AccessBarrier<573558ul, G1BarrierSet>, (AccessInternal::BarrierType)1, 573558ul>::oop_access_barrier(oopDesc*, long, oopDesc*)
       19990    0.01%       20  java.util.regex.Matcher.reset
       19646    0.01%       19  _mix_pool_bytes_[k]
       19360    0.01%       19  dst_release_[k]
       19336    0.01%       19  hrtimer_active_[k]
       19310    0.01%       19  ip6_rcv_finish_[k]
       19291    0.01%       19  __tcp_select_window_[k]
       19287    0.01%       19  do_timerfd_settime_[k]
       19236    0.01%       19  ip6_input_finish_[k]
       19210    0.01%       19  io.netty.buffer.PoolArena.allocateNormal
       19124    0.01%       19  Monitor::owned_by_self() const
       19108    0.01%       19  io.netty.buffer.AbstractByteBuf.isReadable
       19064    0.01%       19  vtable stub
       19024    0.01%       19  G1CardTable::g1_mark_as_young(MemRegion const&)
       19005    0.01%       19  __libc_free
       18995    0.01%       19  oopFactory::new_symbolArray(int, Thread*)
       18981    0.01%       19  io.netty.util.internal.DefaultPriorityQueue.peek
       18945    0.01%       19  JavaThread::active()
       18931    0.01%       19  reactor.core.publisher.StrictSubscriber.request
       18543    0.01%       18  handle_irq_event_percpu_[k]
       18521    0.01%       18  rcu_segcblist_future_gp_needed_[k]
       18476    0.01%       18  add_interrupt_randomness_[k]
       18459    0.01%       18  account_user_time_[k]
       18387    0.01%       18  io.netty.util.internal.shaded.org.jctools.queues.ConcurrentCircularArrayQueue.calcElementOffset
       18372    0.01%       18  io.netty.util.internal.ObjectUtil.checkNotNull
       18318    0.01%       18  iov_iter_advance_[k]
       18316    0.01%       18  kmalloc_slab_[k]
       18172    0.01%       18  OptoRuntime::new_array_C(Klass*, int, JavaThread*)
       18059    0.01%       18  Monitor::ILock(Thread*)
       18044    0.01%       18  io.netty.buffer.WrappedByteBuf.setBytes
       18001    0.01%       18  CompiledMethod::is_compiled() const
       17976    0.01%       18  oopDesc* JNIHandles::resolve_impl<false>(_jobject*)
       17439    0.01%       17  serio_interrupt_[k]
       17423    0.01%       17  trigger_dyntick_cpu.isra.35_[k]
       17373    0.01%       17  inet6_ehashfn_[k]
       17288    0.01%       17  tcp_established_options_[k]
       17261    0.01%       17  prefetch_freepointer_[k]
       17252    0.01%       17  Klass::klass_holder() const
       17216    0.01%       17  do_iter_readv_writev_[k]
       17200    0.01%       17  resched_curr_[k]
       17118    0.01%       17  new_sync_read_[k]
       17091    0.01%       17  G1AllocRegion::fill_up_remaining_space(HeapRegion*)
       17091    0.01%       17  io.netty.buffer.AbstractByteBuf.skipBytes
       17045    0.01%       17  __GI___printf_fp_l
       17026    0.01%       17  JavaThread::is_Java_thread() const
       16998    0.01%       17  io.rsocket.RSocketClient.lambda$handleRequestResponse$12
       16997    0.01%       17  java.io.PrintStream.print
       16988    0.01%       17  PreserveExceptionMark::PreserveExceptionMark(Thread*&)
       16965    0.01%       17  G1BlockOffsetTablePart::zero_bottom_entry_raw()
       16883    0.01%       17  io.netty.buffer.PoolChunk.updateParentsFree
       16846    0.01%       17  __malloc
       16477    0.01%       16  sun.misc.Unsafe.putObject
       16326    0.01%       16  __handle_irq_event_percpu_[k]
       16292    0.01%       16  apic_ack_irq_[k]
       16247    0.01%       16  aa_label_sk_perm_[k]
       16242    0.01%       16  get_seconds_[k]
       16196    0.01%       16  netif_rx_internal_[k]
       16160    0.01%       16  jdk.internal.misc.Unsafe.copyMemory
       16159    0.01%       16  G1Analytics::predict_rs_scan_time_ms(unsigned long, bool) const
       16153    0.01%       16  activate_task_[k]
       16138    0.01%       16  rw_verify_area_[k]
       16100    0.01%       16  io.netty.buffer.WrappedByteBuf.capacity
       16047    0.01%       16  io.netty.buffer.AbstractByteBuf.getUnsignedMedium
       16015    0.01%       16  _int_malloc
       16012    0.01%       16  io.netty.buffer.SimpleLeakAwareByteBuf.touch
       15948    0.01%       16  _init
       15929    0.01%       16  __pthread_enable_asynccancel
       15926    0.01%       16  FreeRegionList::add_ordered(FreeRegionList*)
       15924    0.01%       16  vtable stub
       15918    0.01%       16  reactor.core.publisher.MonoProcessor.onComplete
       15905    0.01%       16  io.netty.buffer.PoolArena.allocate
       15899    0.01%       16  reactor.core.publisher.FluxFlatMap$FlatMapMain.checkTerminated
       15503    0.01%       15  profile_tick_[k]
       15423    0.01%       15  gen6_read32	[i915]_[k]
       15402    0.01%       15  ntp_tick_length_[k]
       15311    0.01%       15  apparmor_file_permission_[k]
       15285    0.01%       15  native_write_msr_[k]
       15283    0.01%       15  update_rq_clock_[k]
       15235    0.01%       15  hrtimer_interrupt_[k]
       15208    0.01%       15  rb_insert_color_[k]
       15185    0.01%       15  reweight_entity_[k]
       15165    0.01%       15  security_socket_recvmsg_[k]
       15164    0.01%       15  mem_cgroup_uncharge_[k]
       15140    0.01%       15  check_preempt_curr_[k]
       15126    0.01%       15  vfs_read_[k]
       15093    0.01%       15  sock_read_iter_[k]
       15085    0.01%       15  io.netty.buffer.WrappedByteBuf.isReadable
       15083    0.01%       15  io.netty.buffer.AbstractByteBuf.adjustMarkers
       15064    0.01%       15  tcp_poll_[k]
       15000    0.01%       15  VMError::is_error_reported()
       14993    0.01%       15  HeapRegionRemSet::clear_locked(bool)
       14960    0.01%       15  org.HdrHistogram.AbstractHistogramIterator.incrementSubBucket
       14951    0.01%       15  IndexSet::initialize(unsigned int)
       14924    0.01%       15  frame::oops_interpreted_do(OopClosure*, RegisterMap const*, bool)
       14815    0.01%       15  StatSamplerTask::task()
       14707    0.01%       15  ThreadSafepointState::examine_state_of_thread()
       14435    0.01%       14  __perf_event_task_sched_out_[k]
       14360    0.01%       14  tcp_queue_rcv_[k]
       14354    0.01%       14  synaptics_process_packet	[psmouse]_[k]
       14277    0.01%       14  __schedule_[k]
       14264    0.01%       14  native_queued_spin_lock_slowpath_[k]
       14224    0.01%       14  __softirqentry_text_start_[k]
       14214    0.01%       14  sched_clock_cpu_[k]
       14213    0.01%       14  do_iter_write_[k]
       14210    0.01%       14  inet_sendmsg_[k]
       14172    0.01%       14  io.netty.buffer.SimpleLeakAwareByteBuf.newLeakAwareByteBuf
       14169    0.01%       14  tcp_tso_segs_[k]
       14165    0.01%       14  fput_[k]
       14010    0.01%       14  __strlen_avx2
       13997    0.01%       14  HeapRegionRemSetIterator::HeapRegionRemSetIterator(HeapRegionRemSet*)
       13986    0.01%       14  Method::bcp_from(unsigned char*) const
       13965    0.01%       14  jdk.internal.math.FloatingDecimal$BinaryToASCIIBuffer.developLongDigits
       13905    0.01%       14  io.netty.channel.ChannelOutboundBuffer.remove
       13827    0.01%       14  java.lang.Class.cast
       13824    0.01%       14  ConstantPool::impl_signature_ref_at(int, bool)
       13338    0.01%       13  smp_apic_timer_interrupt_[k]
       13328    0.01%       13  ktime_get_update_offsets_now_[k]
       13288    0.01%       13  inet_recvmsg_[k]
       13280    0.01%       13  tcp_options_write_[k]
       13264    0.01%       13  __acct_update_integrals_[k]
       13240    0.01%       13  migrate_task_rq_fair_[k]
       13231    0.01%       13  eth_type_trans_[k]
       13225    0.01%       13  ctx_sched_out_[k]
       13222    0.01%       13  _cond_resched_[k]
       13211    0.01%       13  tcp_v6_send_check_[k]
       13208    0.01%       13  lock_sock_nested_[k]
       13173    0.01%       13  __page_cache_release_[k]
       13158    0.01%       13  InstanceKlass::allocate_objArray(int, int, Thread*)
       13153    0.01%       13  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.awaitNanos
       13136    0.01%       13  tcp_check_space_[k]
       13124    0.01%       13  PhaseIdealLoop::Dominators()
       12980    0.01%       13  PhaseChaitin::Split(unsigned int, ResourceArea*)
       12972    0.01%       13  G1CollectedHeap::heap()
       12963    0.01%       13  reactor.core.publisher.FluxDoFinally.createSubscriber
       12953    0.01%       13  G1HotCardCache::drain(CardTableEntryClosure*, unsigned int)
       12948    0.01%       13  io.netty.buffer.PoolArena.free
       12948    0.01%       13  SymbolPropertyTable::oops_do(OopClosure*)
       12940    0.01%       13  java.util.concurrent.atomic.AtomicIntegerFieldUpdater$AtomicIntegerFieldUpdaterImpl.addAndGet
       12937    0.01%       13  bool HeapRegion::oops_on_card_seq_iterate_careful<true, G1ScanObjsDuringUpdateRSClosure>(MemRegion, G1ScanObjsDuringUpdateRSClosure*)
       12916    0.01%       13  reactor.core.publisher.MonoFlatMapMany$FlatMapManyInner.onNext
       12898    0.01%       13  reactor.core.publisher.Operators$MonoSubscriber.complete
       12860    0.01%       13  io.rsocket.frame.FrameHeaderFlyweight.hasMetadataLengthField
       12377    0.01%       12  perf_event_task_tick_[k]
       12373    0.01%       12  skb_page_frag_refill_[k]
       12372    0.01%       12  lock_timer_base_[k]
       12308    0.01%       12  set_task_cpu_[k]
       12300    0.01%       12  default_wake_function_[k]
       12217    0.01%       12  netif_skb_features_[k]
       12216    0.01%       12  skb_clone_[k]
       12215    0.01%       12  tcp_release_cb_[k]
       12209    0.01%       12  jiffies_to_usecs_[k]
       12198    0.01%       12  skb_release_head_state_[k]
       12197    0.01%       12  tcp_rate_check_app_limited_[k]
       12177    0.01%       12  tcp_send_delayed_ack_[k]
       12107    0.01%       12  java.lang.ref.ReferenceQueue.reallyPoll
       12031    0.01%       12  resource_allocate_bytes(unsigned long, AllocFailStrategy::AllocFailEnum)
       12022    0.01%       12  ImmutableOopMapSet::find_map_at_offset(int) const
       12010    0.01%       12  io.netty.channel.ChannelOutboundBuffer.isEmpty
       12009    0.01%       12  io.netty.channel.unix.PreferredDirectByteBufAllocator.ioBuffer
       11998    0.01%       12  io.rsocket.transport.netty.ChannelReadHandler.channelRead
       11989    0.01%       12  os::PlatformEvent::park(long)
       11988    0.01%       12  io.netty.buffer.PooledByteBufAllocator.threadCache
       11969    0.01%       12  io.rsocket.transport.netty.ChannelReadHandler.channelReadComplete
       11961    0.01%       12  io.rsocket.transport.netty.SendPublisher$InnerSubscriber$$Lambda$131.1544671894.run
       11960    0.01%       12  __strncpy_sse2_unaligned
       11958    0.01%       12  G1CodeRootSet::contains(nmethod*)
       11957    0.01%       12  io.netty.buffer.AbstractByteBuf.writerIndex
       11955    0.01%       12  java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.offer
       11926    0.01%       12  G1YoungRemSetSamplingClosure::do_heap_region(HeapRegion*)
       11896    0.01%       12  reactor.core.publisher.FlatMapTracker.offerFree
       11325    0.01%       11  rcu_segcblist_ready_cbs_[k]
       11304    0.01%       11  memcg_kmem_put_cache_[k]
       11272    0.01%       11  kthread_data_[k]
       11255    0.01%       11  apic_timer_interrupt_[k]
       11250    0.01%       11  __sk_dst_check_[k]
       11224    0.01%       11  __wake_up_common_lock_[k]
       11179    0.01%       11  Monitor::wait(bool, long, bool)
       11177    0.01%       11  security_file_permission_[k]
       11175    0.01%       11  rcu_all_qs_[k]
       11127    0.01%       11  validate_xmit_skb_[k]
       11115    0.01%       11  rb_first_[k]
       11105    0.01%       11  native_apic_mem_write_[k]
       11100    0.01%       11  io.netty.buffer.PooledByteBuf.retainedSlice
       11067    0.01%       11  org.HdrHistogram.AbstractHistogram.outputPercentileDistribution
       11067    0.01%       11  io.netty.buffer.WrappedByteBuf.getUnsignedMedium
       11045    0.01%       11  __pthread_disable_asynccancel
       11038    0.01%       11  oopDesc::size_given_klass(Klass*)
       11022    0.01%       11  io.netty.buffer.SimpleLeakAwareByteBuf.unwrappedDerived
       11009    0.01%       11  io.netty.channel.epoll.AbstractEpollStreamChannel.isActive
       10985    0.01%       11  os::elapsed_counter()
       10977    0.01%       11  java.util.concurrent.FutureTask.runAndReset
       10969    0.01%       11  PeriodicTask::real_time_tick(int)
       10963    0.01%       11  reactor.core.publisher.DirectProcessor$DirectInner.request
       10959    0.01%       11  JNIHandleBlock::oops_do(OopClosure*)
       10951    0.01%       11  io.netty.channel.ChannelOutboundBuffer.addFlush
       10894    0.01%       11  G1RemSet::prepare_for_oops_into_collection_set_do()
       10889    0.01%       11  g1_post_barrier_slow
       10859    0.01%       11  java.io.PrintStream.newLine
       10436    0.01%       10  input_pass_values.part.6_[k]
       10244    0.01%       10  tcp_wfree_[k]
       10244    0.01%       10  gen8_gt_irq_ack	[i915]_[k]
       10244    0.01%       10  flat_send_IPI_mask_[k]
       10226    0.01%       10  ep_poll_[k]
       10204    0.01%       10  __usecs_to_jiffies_[k]
       10195    0.01%       10  handle_irq_event_[k]
       10185    0.01%       10  free_compound_page_[k]
       10174    0.01%       10  tick_sched_timer_[k]
       10173    0.01%       10  ip6_input_[k]
       10168    0.01%       10  do_writev_[k]
       10145    0.01%       10  update_min_vruntime_[k]
       10138    0.01%       10  tcp_v6_do_rcv_[k]
       10133    0.01%       10  x86_pmu_disable_[k]
       10126    0.01%       10  io.netty.buffer.PoolThreadCache$MemoryRegionCache.freeEntry
       10123    0.01%       10  bictcp_cwnd_event_[k]
       10096    0.01%       10  apparmor_socket_recvmsg_[k]
       10088    0.01%       10  io.netty.buffer.SimpleLeakAwareByteBuf.retainedSlice
       10083    0.01%       10  io.netty.buffer.WrappedByteBuf.readerIndex
       10071    0.01%       10  io.netty.buffer.WrappedByteBuf.skipBytes
       10031    0.01%       10  TruncatedSeq::add(double)
       10031    0.01%       10  sock_poll_[k]
       10027    0.01%       10  io.netty.util.concurrent.AbstractScheduledEventExecutor.pollScheduledTask
       10024    0.01%       10  PreserveExceptionMark::~PreserveExceptionMark()
       10010    0.01%       10  io.netty.buffer.PooledUnsafeDirectByteBuf.nioBufferCount
       10007    0.01%       10  io.netty.channel.epoll.AbstractEpollStreamChannel.doWriteSingle
       10005    0.01%       10  I2C/C2I adapters
       10001    0.01%       10  futex_wake_[k]
        9999    0.01%       10  CompiledMethod::cleanup_inline_caches_impl(bool, bool, bool)
        9999    0.01%       10  InstanceKlass::find_method_index(Array<Method*> const*, Symbol const*, Symbol const*, Klass::OverpassLookupMode, Klass::StaticLookupMode, Klass::PrivateLookupMode) [clone .constprop.269]
        9997    0.01%       10  java.util.concurrent.atomic.AtomicIntegerFieldUpdater$AtomicIntegerFieldUpdaterImpl.getAndIncrement
        9996    0.01%       10  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl.compareAndSet
        9990    0.01%       10  SurvRateGroup::record_surviving_words(int, unsigned long)
        9967    0.01%       10  SafepointSynchronize::begin()
        9964    0.01%       10  G1FreeCollectionSetTask::work(unsigned int)
        9958    0.01%       10  oopDesc::release_obj_field_put(int, oopDesc*)
        9957    0.01%       10  io.netty.channel.epoll.AbstractEpollStreamChannel.writeBytes
        9950    0.01%       10  java.lang.AbstractStringBuilder.appendChars
        9920    0.01%       10  __put_compound_page_[k]
        9911    0.01%       10  __GI__IO_default_xsputn
        9904    0.01%       10  OopMapStream::find_next()
        9892    0.01%       10  to_abstime(timespec*, long, bool)
        9308    0.01%        9  evdev_pass_values_[k]
        9217    0.01%        9  run_posix_cpu_timers_[k]
        9209    0.01%        9  scheduler_tick_[k]
        9187    0.01%        9  get_futex_key_[k]
        9181    0.01%        9  raise_softirq_[k]
        9168    0.01%        9  pick_next_task_fair_[k]
        9165    0.01%        9  sk_filter_trim_cap_[k]
        9160    0.01%        9  raw6_local_deliver_[k]
        9150    0.01%        9  __slab_alloc_[k]
        9140    0.01%        9  __raise_softirq_irqoff_[k]
        9138    0.01%        9  find_busiest_group_[k]
        9097    0.01%        9  tcp_rearm_rto.part.61_[k]
        9096    0.01%        9  dev_hard_start_xmit_[k]
        9090    0.01%        9  G1CollectionSet::iterate(HeapRegionClosure*) const
        9081    0.01%        9  JfrAllocationTracer::~JfrAllocationTracer()
        9068    0.01%        9  io.netty.buffer.SimpleLeakAwareByteBuf.order
        9068    0.01%        9  __cgroup_account_cputime_[k]
        9038    0.01%        9  io.netty.buffer.PooledByteBuf.capacity
        9019    0.01%        9  io.netty.buffer.AbstractByteBufAllocator.directBuffer
        8994    0.01%        9  io.netty.util.ResourceLeakDetector$DefaultResourceLeak.reachabilityFence0
        8993    0.01%        9  io.netty.util.concurrent.DefaultPromise.notifyListeners
        8984    0.01%        9  io.netty.handler.codec.LengthFieldBasedFrameDecoder.getUnadjustedFrameLength
        8970    0.01%        9  io.rsocket.frame.FrameHeaderFlyweight.encodeData
        8957    0.01%        9  io.netty.buffer.PooledUnsafeDirectByteBuf.setBytes
        8957    0.01%        9  java.util.concurrent.ConcurrentHashMap.put
        8942    0.01%        9  java.util.Formatter$Flags.parse
        8942    0.01%        9  io.netty.buffer.AbstractByteBuf.writeBytes
        8939    0.01%        9  G1ScanRSForRegionClosure::do_heap_region(HeapRegion*)
        8932    0.01%        9  io.netty.util.internal.PlatformDependent0.getInt
        8920    0.01%        9  Monitor::IWait(Thread*, long)
        8911    0.01%        9  WeakProcessor::weak_oops_do(BoolObjectClosure*, OopClosure*)
        8279    0.01%        8  default_send_IPI_single_[k]
        8260    0.01%        8  skb_condense_[k]
        8245    0.01%        8  add_input_randomness_[k]
        8220    0.01%        8  tick_sched_do_timer_[k]
        8203    0.01%        8  account_entity_dequeue_[k]
        8191    0.01%        8  ip6_dst_hoplimit_[k]
        8191    0.01%        8  gen6_rps_boost	[i915]_[k]
        8170    0.01%        8  apparmor_socket_sock_rcv_skb_[k]
        8143    0.00%        8  tcp_rcv_space_adjust_[k]
        8124    0.00%        8  __remove_hrtimer_[k]
        8118    0.00%        8  rcu_segcblist_pend_cbs_[k]
        8116    0.00%        8  nf_hook_slow_[k]
        8109    0.00%        8  release_sock_[k]
        8107    0.00%        8  cpumask_next_wrap_[k]
        8101    0.00%        8  __pm_relax_[k]
        8098    0.00%        8  apparmor_socket_sendmsg_[k]
        8083    0.00%        8  epoll_wait
        8082    0.00%        8  tcp_rate_gen_[k]
        8074    0.00%        8  do_softirq_own_stack_[k]
        8069    0.00%        8  bictcp_cong_avoid_[k]
        8056    0.00%        8  io.netty.buffer.PoolArena.normalizeCapacity
        8055    0.00%        8  io.netty.buffer.WrappedByteBuf.writableBytes
        8045    0.00%        8  ObjectSynchronizer::deflate_thread_local_monitors(Thread*, DeflateMonitorCounters*)
        8036    0.00%        8  io.netty.channel.DefaultMaxMessagesRecvByteBufAllocator$MaxMessageHandle.allocate
        8032    0.00%        8  org.HdrHistogram.AtomicHistogram.getCountAtIndex
        8031    0.00%        8  org.HdrHistogram.AbstractHistogramIterator.resetIterator
        8030    0.00%        8  ThreadLocalAllocBuffer::myThread()
        8029    0.00%        8  minmax_subwin_update_[k]
        8023    0.00%        8  io.rsocket.transport.netty.ChannelReadHandler.tryRequestMore
        8023    0.00%        8  io.netty.handler.codec.ByteToMessageDecoder.channelReadComplete
        8014    0.00%        8  G1BarrierSet::enqueue(oopDesc*)
        8012    0.00%        8  PerfLongVariant::sample()
        8010    0.00%        8  io.netty.handler.codec.ByteToMessageDecoder.decodeRemovalReentryProtection
        8009    0.00%        8  BacktraceBuilder::BacktraceBuilder(Thread*)
        8004    0.00%        8  intel_lrc_irq_handler	[i915]_[k]
        8001    0.00%        8  __GI_timerfd_settime
        7999    0.00%        8  io.netty.buffer.PoolChunkList.allocate
        7983    0.00%        8  io.netty.channel.DefaultMaxMessagesRecvByteBufAllocator$MaxMessageHandle.attemptedBytesRead
        7981    0.00%        8  io.netty.util.internal.PlatformDependent.getShort
        7972    0.00%        8  JavaFrameAnchor::make_walkable(JavaThread*)
        7969    0.00%        8  RSHashTable::clear()
        7951    0.00%        8  Rdtsc::elapsed_counter()
        7948    0.00%        8  frame::interpreter_frame_bcp() const
        7945    0.00%        8  java.util.concurrent.ScheduledThreadPoolExecutor$DelayedWorkQueue.take
        7940    0.00%        8  io.netty.buffer.AbstractByteBufAllocator.calculateNewCapacity
        7289    0.00%        7  __get_vblank_counter	[drm]_[k]
        7227    0.00%        7  drm_handle_vblank	[drm]_[k]
        7206    0.00%        7  irq_work_tick_[k]
        7185    0.00%        7  skb_push_[k]
        7182    0.00%        7  tcp_v6_fill_cb_[k]
        7175    0.00%        7  update_process_times_[k]
        7172    0.00%        7  schedule_[k]
        7168    0.00%        7  gen8_gt_irq_handler	[i915]_[k]
        7165    0.00%        7  swapgs_restore_regs_and_return_to_usermode_[k]
        7155    0.00%        7  inet6_csk_xmit_[k]
        7153    0.00%        7  netdev_pick_tx_[k]
        7152    0.00%        7  cpu_load_update_[k]
        7149    0.00%        7  cpupri_set_[k]
        7144    0.00%        7  io.netty.channel.unix.FileDescriptor.readAddress
        7137    0.00%        7  skb_try_coalesce_[k]
        7133    0.00%        7  OopMapSet::update_register_map(frame const*, RegisterMap*)
        7124    0.00%        7  credit_entropy_bits_[k]
        7122    0.00%        7  aa_profile_af_perm_[k]
        7104    0.00%        7  security_sk_classify_flow_[k]
        7100    0.00%        7  __queue_work_[k]
        7097    0.00%        7  hrtimer_try_to_cancel_[k]
        7090    0.00%        7  security_socket_sendmsg_[k]
        7082    0.00%        7  aa_file_perm_[k]
        7078    0.00%        7  PageHuge_[k]
        7072    0.00%        7  I2C/C2I adapters
        7061    0.00%        7  calc_wheel_index_[k]
        7042    0.00%        7  io.netty.buffer.AbstractByteBuf.writeBytes
        7037    0.00%        7  Method::mask_for(int, InterpreterOopMap*)
        7036    0.00%        7  io.netty.buffer.PoolChunk.updateParentsAlloc
        7033    0.00%        7  io.netty.channel.epoll.AbstractEpollStreamChannel.access$400
        7012    0.00%        7  java.util.Formatter$FormatSpecifier.getZero
        7008    0.00%        7  AgeTable::print_age_table(unsigned int)
        6993    0.00%        7  reactor.core.publisher.StrictSubscriber.onNext
        6989    0.00%        7  java.util.concurrent.ThreadPoolExecutor.getTask
        6989    0.00%        7  io.netty.channel.unix.FileDescriptor.writevAddresses
        6987    0.00%        7  __unqueue_futex_[k]
        6985    0.00%        7  methodHandle::~methodHandle()
        6983    0.00%        7  WatcherThread::run()
